site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
209,26,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,,,,,,,
210,44,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,
211,5,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,,,,,,,,,,
212,43,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,,,,
213,53,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,,,,,,
214,69,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,,,,,,,,,,,,,,,,,,,,,,
215,25,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,,,,,,,,,
216,42,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,,,,,,,,,,,,,,,,,,,,,
217,25,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,,,,,,,,,,,,,,,,,
218,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,,,,,,,,,
219,3,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,,,,,,,,,,,,,
222,66,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,,,,,,,,,,,
223,22,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,,,,,,,,,,,,,,,
228,24,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
231,68,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,,,,,,,,,,,,,,,,,,,,,
233,16,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
234,54,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,,,,
235,38,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
238,51,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,,,
241,29,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,,,,,,,,,,,,,,
244,30,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254
248,46,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
249,18,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,,,,,,,,,,,,,,,
250,35,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,,,,,,,,,,,,,,,,,,,
251,23,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,,,,,,,,,,,,,,,,,,,
254,25,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
256,52,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,,,,,,,,,,
